,NO2_SC_molec/cm^2,NO2_Con_molec/cm^3,Data_set_NO,NO2_std_err
0,7.546927435211808e+17,7.546927435211808e+16,0,8360597545076626.0
1,7.070515903284668e+17,7.070515903284668e+16,1,8020536824753283.0
2,6.622291018400438e+17,6.6222910184004376e+16,2,7963543808022426.0
3,6.124243799824602e+17,6.124243799824602e+16,3,6969432297275705.0
4,5.83744616236223e+17,5.8374461623622296e+16,4,7020482499849616.0
5,5.485253677921034e+17,5.4852536779210344e+16,5,6267531308158310.0
6,5.0834162108347686e+17,5.083416210834769e+16,6,5802697112432919.0
7,4.741857703015599e+17,4.741857703015598e+16,7,5427878645053415.0
8,3.965208848291125e+17,3.965208848291125e+16,8,4570939755883955.0
9,3.716367269036279e+17,3.716367269036279e+16,9,4290468602243496.0
10,9.335316755240197e+16,9335316755240196.0,10,1052371206599053.0
11,3.431122314154592e+17,3.431122314154592e+16,11,3962091266595266.5
12,3.16580015190453e+17,3.16580015190453e+16,12,3996851967224834.0
13,3.039395046040713e+17,3.039395046040713e+16,13,3706000547335350.5
14,2.8871368354273325e+17,2.8871368354273324e+16,14,3525571131197368.5
15,2.7098024676962253e+17,2.7098024676962252e+16,15,3324885045692389.0
16,2.1624298631380096e+17,2.1624298631380096e+16,16,2665295570016345.0
17,1.9731255414753933e+17,1.9731255414753932e+16,17,2194443022948500.2
18,1.8868192955986794e+17,1.886819295598679e+16,18,2160333324033222.0
19,1.595684866466971e+17,1.5956848664669708e+16,19,2100178575497958.8
20,1.5073624109551782e+17,1.5073624109551782e+16,20,1745657553602070.8
21,1.4611667924449165e+17,1.4611667924449164e+16,21,1693210872755081.5
22,1.4147066342226344e+17,1.4147066342226344e+16,22,1642896746860873.2
23,1.3541760206089003e+17,1.3541760206089004e+16,23,1568052038139823.5
24,1.3007059745480376e+17,1.3007059745480376e+16,24,1502756771325878.8
25,1.2836145678567837e+17,1.2836145678567836e+16,25,1494915156396164.2
26,1.2722740172079011e+17,1.2722740172079012e+16,26,1741168454776856.2
27,1.233118198003721e+17,1.233118198003721e+16,27,1386006681765065.8
28,1.2066911503671347e+17,1.2066911503671348e+16,28,1369728538813065.8
29,1.1857485915179662e+17,1.1857485915179662e+16,29,1331123457528165.0
30,1.1789763246364934e+17,1.1789763246364934e+16,30,1316437249265762.8
31,1.1706735215387203e+17,1.1706735215387204e+16,31,1309033142930083.8
32,1.16186827943885e+17,1.16186827943885e+16,32,1303374445124519.8
33,1.1264448193485837e+17,1.1264448193485836e+16,33,1256986046909914.5
34,1.1246032920348742e+17,1.1246032920348742e+16,34,1250938683550795.5
35,1.1190978591324648e+17,1.1190978591324648e+16,35,1281157886724874.2
36,1.1068746030644494e+17,1.1068746030644494e+16,36,1234194418353449.5
37,1.0866866224905394e+17,1.0866866224905394e+16,37,1216896663385838.0
38,1.0499405408463147e+17,1.0499405408463148e+16,38,1175025050776654.5
39,1.0529864644350322e+17,1.0529864644350322e+16,39,1178358537380079.2
40,1.0372383318555904e+17,1.0372383318555904e+16,40,1156719126009326.8
41,1.0195238961101904e+17,1.0195238961101904e+16,41,1186356402487645.2
42,1.0198462648932606e+17,1.0198462648932606e+16,42,1192313219535760.0
43,1.0217723565935718e+17,1.0217723565935718e+16,43,1194049867745019.8
44,1.0224166666465717e+17,1.0224166666465716e+16,44,1189989827102768.0
45,1.0269201079983352e+17,1.0269201079983352e+16,45,1200619669463797.8
46,1.0271241396640798e+17,1.0271241396640798e+16,46,1192347109592944.2
47,1.0260364301792438e+17,1.0260364301792438e+16,47,1192251520445014.2
48,1.005951956967303e+17,1.005951956967303e+16,48,1176627651741290.0
49,9.738882474572806e+16,9738882474572806.0,49,1146943422734246.5
50,9.046415339833691e+16,9046415339833692.0,50,1057159740101713.1
51,8.637702070414845e+16,8637702070414845.0,51,1401121921565705.0
52,8.79455912130246e+16,8794559121302461.0,52,1027494282745803.9
53,8.84167531010699e+16,8841675310106990.0,53,1031930167546075.1
54,9.041127101711326e+16,9041127101711326.0,54,1063013940151592.6
55,9.269854404545453e+16,9269854404545452.0,55,1085948023376495.4
56,9.37446715675496e+16,9374467156754960.0,56,1089738120879781.2
57,9.490449916412051e+16,9490449916412052.0,57,1116523255626812.5
58,9.694193506894632e+16,9694193506894632.0,58,1478837701866033.5
59,9.648845998872877e+16,9648845998872876.0,59,1123401087483272.4
60,9.581284668411182e+16,9581284668411182.0,60,1122640543971699.4
61,9.52257541540232e+16,9522575415402320.0,61,1109482450609293.0
62,9.203030587495285e+16,9203030587495284.0,62,1068953801702669.9
63,9.179137949010725e+16,9179137949010724.0,63,1072225441554320.1
64,9.159138621894062e+16,9159138621894062.0,64,1069004922114434.5
65,9.27745796227657e+16,9277457962276570.0,65,1094655181941998.5
66,9.215906612766272e+16,9215906612766272.0,66,1804821001059468.2
67,9.588263930649774e+16,9588263930649774.0,67,1179372108070542.5
68,9.48333338180151e+16,9483333381801510.0,68,1118156420621568.9
69,9.115808948440434e+16,9115808948440434.0,69,1052024293387767.6
70,8.850381193422888e+16,8850381193422888.0,70,1023225195022671.1
71,9.006164384590896e+16,9006164384590896.0,71,1010177844388308.9
72,9.00096502905392e+16,9000965029053920.0,72,1007899091076354.6
73,9.21092637967381e+16,9210926379673810.0,73,1032443776532448.5
74,9.184862456851912e+16,9184862456851912.0,74,1027456055358728.6
75,9.375067518405048e+16,9375067518405048.0,75,1045911368523760.2
76,9.467149807172059e+16,9467149807172060.0,76,1063883449084653.0
